latitude,longitude,frp_mw,brightness_temp_i4_k,brightness_temp_i5_k,confidence_pct,day_night_flag,persistence_days,total_detections_365d,frp_std_dev_pct,day_night_ratio,active_days_count,ndvi,nbr,dnbr,built_probability,trees_probability,crops_probability,water_probability,distance_to_industrial_m,distance_to_refinery_m,industrial_count_500m,burned_area_overlap,detection_month,class_label
23.80803,81.28035,107.80439630875873,502.54247066057314,335.70565005213007,74.08745365357807,day,9.679978459330059,18,76.00280280631449,0.42014157267169233,20,0.5639113091105579,-0.14687490090629488,0.5509807888208147,0.1404906278027244,0.687104444312193,0.09235927516122609,0.058102339883208065,12250,19314,0,1,5,Wildfire
27.97729,74.8543,91.8923647532978,354.44307491495147,333.1985384464042,75.50807802079943,night,1.0988092256135333,0,22.783348863606907,0.271531601716293,6,0.39463612629691935,0.08597671727412495,0.15842979920951666,0.0,0.06305737355888262,0.8614764153905524,0.07037476943280269,10125,27111,0,0,10,Agricultural Burning
34.78144,84.65372,325.1680117410878,451.2421873491165,354.8930077370077,76.28968248781254,night,18.42497052814939,21,21.706376477714524,0.479634599297337,0,0.4057343879721221,0.16250438556253796,1.032611259959433,0.10871038654453713,0.8476706033852748,0.06776046867987293,0.0,16599,14206,0,1,4,Wildfire
27.3555,81.03113,310.3169490960999,366.9869046448282,315.95379136359617,71.11908785928631,day,11.690813627559972,14,45.87452208477413,0.5353735743348077,2,0.48091474422120445,-0.2653581698212644,0.8330222652722656,0.09209042767780076,0.8240928308830588,0.10336228035293678,0.0,23928,63975,0,1,3,Wildfire
17.88202,85.44581,25.371608115405323,354.97584027755346,313.30507029035283,45.614708684892484,day,1.3760966633813274,4,58.7725692664455,0.5660624906677065,0,0.3792164889881178,-0.3160080437809391,-0.1661103768788869,0.12590608886397814,0.23484698919675245,0.24459976136124936,0.3755417419413636,10346,24873,1,0,4,Other/Unknown
16.61053,76.40111,37.588522954580974,405.67688172550703,307.6654795034017,29.941839543749488,night,10.523506136318346,6,50.78356141461493,0.44794279356301864,9,0.6086687358522203,0.20624380776844112,0.2789772420186552,0.5349770326513948,0.1942606724551108,0.09474905676863812,0.20033705533457272,12834,472,1,0,8,Other/Unknown
26.66557,81.05065,19.680150051251363,318.1548701940821,349.06624489853573,37.245998930683086,day,8.128413030643982,19,17.126172989684683,0.30996089440636715,3,0.8754080995326751,0.28514344275156056,-0.16416279312053103,0.0,0.5598694200647807,0.012050075667977342,0.46251491475499396,15962,23486,0,0,2,Other/Unknown
29.00237,81.54116,306.89019193109726,424.6726765913398,350.4400342502824,100.0,night,6.379648916907443,6,46.6824947288762,0.35549280556971186,6,0.5158107748028533,-0.4946737000259167,0.6105967849347792,0.029701178475200818,0.8689320790484043,0.037060510119774404,0.09142699975690102,12939,18747,0,1,2,Wildfire
33.8263,84.83376,90.26774171954077,601.8737902712268,356.91253291026624,78.26134613180302,day,2.5503173287284207,12,71.52476122612639,0.342067303868277,3,0.6594715657509723,-0.23253903507610751,0.8183712108491068,0.07369947170965253,0.9039883508105911,0.0018992109511187804,0.03366418091843654,25078,39856,0,1,3,Wildfire
22.94597,68.61808,327.3675773939431,1047.1561038839216,345.9372844504998,96.00584199366094,night,62.96249755195997,143,29.143984029366646,0.5383343048780278,151,0.08113903478605772,-0.05619124639100176,0.10440006597346871,0.691927201543859,0.19222992676542006,0.09851350014482049,0.010754472736706162,530,6069,5,0,9,Gas Flare
